dogBreed,dogBreedLabel,countryLabel,height,mass,lifeExpectancy
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,72,90,9
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,80,90,9
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,84,90,9
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,90,90,9
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,72,70,9
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,80,70,9
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,84,70,9
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,90,70,9
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,71,65,13
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,74,65,13
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,79,65,13
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,81,65,13
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,71,65,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,74,65,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,79,65,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,81,65,10
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,72,60,9
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,80,60,9
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,84,60,9
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,90,60,9
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,71,55,13
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,74,55,13
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,79,55,13
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,81,55,13
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,71,55,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,74,55,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,79,55,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,81,55,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,71,50,13
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,74,50,13
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,79,50,13
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,81,50,13
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,72,50,9
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,80,50,9
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,84,50,9
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,90,50,9
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,71,50,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,74,50,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,79,50,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,81,50,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,71,40,13
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,74,40,13
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,79,40,13
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,81,40,13
http://www.wikidata.org/entity/Q38280,Немецкая овчарка,Германия,55,40,10
http://www.wikidata.org/entity/Q38280,Немецкая овчарка,Германия,60,40,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,71,40,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,74,40,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,79,40,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,81,40,10
http://www.wikidata.org/entity/Q21206,Аляскинский маламут,Аляска,58.5,38,10
http://www.wikidata.org/entity/Q21206,Аляскинский маламут,Аляска,58.5,38,12
http://www.wikidata.org/entity/Q21206,Аляскинский маламут,Аляска,63.5,38,10
http://www.wikidata.org/entity/Q21206,Аляскинский маламут,Аляска,63.5,38,12
http://www.wikidata.org/entity/Q37494,Стародатский пойнтер,Дания,52,35,13
http://www.wikidata.org/entity/Q37494,Стародатский пойнтер,Дания,56,35,13
http://www.wikidata.org/entity/Q37494,Стародатский пойнтер,Дания,52,35,12
http://www.wikidata.org/entity/Q37494,Стародатский пойнтер,Дания,56,35,12
http://www.wikidata.org/entity/Q37514,Американский фоксхаунд,США,53,34,13
http://www.wikidata.org/entity/Q37514,Американский фоксхаунд,США,56,34,13
http://www.wikidata.org/entity/Q37514,Американский фоксхаунд,США,61,34,13
http://www.wikidata.org/entity/Q37514,Американский фоксхаунд,США,63.5,34,13
http://www.wikidata.org/entity/Q21206,Аляскинский маламут,Аляска,58.5,34,10
http://www.wikidata.org/entity/Q21206,Аляскинский маламут,Аляска,58.5,34,12
http://www.wikidata.org/entity/Q21206,Аляскинский маламут,Аляска,63.5,34,10
http://www.wikidata.org/entity/Q21206,Аляскинский маламут,Аляска,63.5,34,12
http://www.wikidata.org/entity/Q37514,Американский фоксхаунд,США,53,34,11
http://www.wikidata.org/entity/Q37514,Американский фоксхаунд,США,56,34,11
http://www.wikidata.org/entity/Q37514,Американский фоксхаунд,США,61,34,11
http://www.wikidata.org/entity/Q37514,Американский фоксхаунд,США,63.5,34,11
http://www.wikidata.org/entity/Q37666,Q37666,Чехия,58,34,12
http://www.wikidata.org/entity/Q37666,Q37666,Чехия,60,34,12
http://www.wikidata.org/entity/Q37666,Q37666,Чехия,62,34,12
http://www.wikidata.org/entity/Q37666,Q37666,Чехия,66,34,12
http://www.wikidata.org/entity/Q37716,Бассет-хаунд,Франция,33,32,11.5
http://www.wikidata.org/entity/Q37716,Бассет-хаунд,Франция,38,32,11.5
http://www.wikidata.org/entity/Q38280,Немецкая овчарка,Германия,55,32,10
http://www.wikidata.org/entity/Q38280,Немецкая овчарка,Германия,60,32,10
http://www.wikidata.org/entity/Q37494,Стародатский пойнтер,Дания,52,31,13
http://www.wikidata.org/entity/Q37494,Стародатский пойнтер,Дания,56,31,13
http://www.wikidata.org/entity/Q37494,Стародатский пойнтер,Дания,52,31,12
http://www.wikidata.org/entity/Q37494,Стародатский пойнтер,Дания,56,31,12
http://www.wikidata.org/entity/Q37494,Стародатский пойнтер,Дания,52,30,13
http://www.wikidata.org/entity/Q37494,Стародатский пойнтер,Дания,56,30,13
http://www.wikidata.org/entity/Q37514,Американский фоксхаунд,США,53,30,13
http://www.wikidata.org/entity/Q37514,Американский фоксхаунд,США,56,30,13
http://www.wikidata.org/entity/Q37514,Американский фоксхаунд,США,61,30,13
http://www.wikidata.org/entity/Q37514,Американский фоксхаунд,США,63.5,30,13
http://www.wikidata.org/entity/Q38874,Перуанская голая собака,Перу,25,30,14
http://www.wikidata.org/entity/Q38874,Перуанская голая собака,Перу,65,30,14
http://www.wikidata.org/entity/Q38280,Немецкая овчарка,Германия,55,30,10
http://www.wikidata.org/entity/Q38280,Немецкая овчарка,Германия,60,30,10
http://www.wikidata.org/entity/Q38496,Немецкий боксёр,Германская империя,53,30,10.04
http://www.wikidata.org/entity/Q38496,Немецкий боксёр,Германская империя,57,30,10.04
http://www.wikidata.org/entity/Q38496,Немецкий боксёр,Германская империя,59,30,10.04
http://www.wikidata.org/entity/Q38496,Немецкий боксёр,Германская империя,63,30,10.04
http://www.wikidata.org/entity/Q37494,Стародатский пойнтер,Дания,52,30,12
http://www.wikidata.org/entity/Q37494,Стародатский пойнтер,Дания,56,30,12
http://www.wikidata.org/entity/Q37514,Американский фоксхаунд,США,53,30,11
http://www.wikidata.org/entity/Q37514,Американский фоксхаунд,США,56,30,11
http://www.wikidata.org/entity/Q37514,Американский фоксхаунд,США,61,30,11
http://www.wikidata.org/entity/Q37514,Американский фоксхаунд,США,63.5,30,11
http://www.wikidata.org/entity/Q37666,Q37666,Чехия,58,28,12
http://www.wikidata.org/entity/Q37666,Q37666,Чехия,60,28,12
http://www.wikidata.org/entity/Q37666,Q37666,Чехия,62,28,12
http://www.wikidata.org/entity/Q37666,Q37666,Чехия,66,28,12
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,63,27,14
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,68,27,14
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,69,27,14
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,74,27,14
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,63,27,12
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,68,27,12
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,69,27,12
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,74,27,12
http://www.wikidata.org/entity/Q37494,Стародатский пойнтер,Дания,52,26,13
http://www.wikidata.org/entity/Q37494,Стародатский пойнтер,Дания,56,26,13
http://www.wikidata.org/entity/Q37494,Стародатский пойнтер,Дания,52,26,12
http://www.wikidata.org/entity/Q37494,Стародатский пойнтер,Дания,56,26,12
http://www.wikidata.org/entity/Q38496,Немецкий боксёр,Германская империя,53,25,10.04
http://www.wikidata.org/entity/Q38496,Немецкий боксёр,Германская империя,57,25,10.04
http://www.wikidata.org/entity/Q38496,Немецкий боксёр,Германская империя,59,25,10.04
http://www.wikidata.org/entity/Q38496,Немецкий боксёр,Германская империя,63,25,10.04
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,63,23,14
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,68,23,14
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,69,23,14
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,74,23,14
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,63,23,12
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,68,23,12
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,69,23,12
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,74,23,12
http://www.wikidata.org/entity/Q38280,Немецкая овчарка,Германия,55,22,10
http://www.wikidata.org/entity/Q38280,Немецкая овчарка,Германия,60,22,10
http://www.wikidata.org/entity/Q37666,Q37666,Чехия,58,22,12
http://www.wikidata.org/entity/Q37666,Q37666,Чехия,60,22,12
http://www.wikidata.org/entity/Q37666,Q37666,Чехия,62,22,12
http://www.wikidata.org/entity/Q37666,Q37666,Чехия,66,22,12
http://www.wikidata.org/entity/Q37856,Американский водяной спаниель,США,38,20.5,13
http://www.wikidata.org/entity/Q37856,Американский водяной спаниель,США,46,20.5,13
http://www.wikidata.org/entity/Q37856,Американский водяной спаниель,США,38,20.5,12
http://www.wikidata.org/entity/Q37856,Американский водяной спаниель,США,46,20.5,12
http://www.wikidata.org/entity/Q37856,Американский водяной спаниель,США,38,18,13
http://www.wikidata.org/entity/Q37856,Американский водяной спаниель,США,46,18,13
http://www.wikidata.org/entity/Q37856,Американский водяной спаниель,США,38,18,12
http://www.wikidata.org/entity/Q37856,Американский водяной спаниель,США,46,18,12
http://www.wikidata.org/entity/Q29149,Французский бульдог,Франция,24,14,11
http://www.wikidata.org/entity/Q29149,Французский бульдог,Франция,27,14,11
http://www.wikidata.org/entity/Q29149,Французский бульдог,Франция,32,14,11
http://www.wikidata.org/entity/Q29149,Французский бульдог,Франция,35,14,11
http://www.wikidata.org/entity/Q37856,Американский водяной спаниель,США,38,13.5,13
http://www.wikidata.org/entity/Q37856,Американский водяной спаниель,США,46,13.5,13
http://www.wikidata.org/entity/Q37856,Американский водяной спаниель,США,38,13.5,12
http://www.wikidata.org/entity/Q37856,Американский водяной спаниель,США,46,13.5,12
http://www.wikidata.org/entity/Q29149,Французский бульдог,Франция,24,13,11
http://www.wikidata.org/entity/Q29149,Французский бульдог,Франция,27,13,11
http://www.wikidata.org/entity/Q29149,Французский бульдог,Франция,32,13,11
http://www.wikidata.org/entity/Q29149,Французский бульдог,Франция,35,13,11
http://www.wikidata.org/entity/Q38783,Q38783,Уэльс,25,12,12
http://www.wikidata.org/entity/Q38783,Q38783,Уэльс,30,12,12
http://www.wikidata.org/entity/Q37856,Американский водяной спаниель,США,38,11.5,13
http://www.wikidata.org/entity/Q37856,Американский водяной спаниель,США,46,11.5,13
http://www.wikidata.org/entity/Q37856,Американский водяной спаниель,США,38,11.5,12
http://www.wikidata.org/entity/Q37856,Американский водяной спаниель,США,46,11.5,12
http://www.wikidata.org/entity/Q38783,Q38783,Уэльс,25,11,12
http://www.wikidata.org/entity/Q38783,Q38783,Уэльс,30,11,12
http://www.wikidata.org/entity/Q38783,Q38783,Уэльс,25,10,12
http://www.wikidata.org/entity/Q38783,Q38783,Уэльс,30,10,12
http://www.wikidata.org/entity/Q38783,Q38783,Уэльс,25,9,12
http://www.wikidata.org/entity/Q38783,Q38783,Уэльс,30,9,12
http://www.wikidata.org/entity/Q29149,Французский бульдог,Франция,24,9,11
http://www.wikidata.org/entity/Q29149,Французский бульдог,Франция,27,9,11
http://www.wikidata.org/entity/Q29149,Французский бульдог,Франция,32,9,11
http://www.wikidata.org/entity/Q29149,Французский бульдог,Франция,35,9,11
http://www.wikidata.org/entity/Q38698,мопс,Китай,30,8.1,13.5
http://www.wikidata.org/entity/Q29149,Французский бульдог,Франция,24,8,11
http://www.wikidata.org/entity/Q29149,Французский бульдог,Франция,27,8,11
http://www.wikidata.org/entity/Q29149,Французский бульдог,Франция,32,8,11
http://www.wikidata.org/entity/Q29149,Французский бульдог,Франция,35,8,11
http://www.wikidata.org/entity/Q38698,мопс,Китай,30,6.3,13.5
http://www.wikidata.org/entity/Q7254,Аффенпинчер,Германия,25,6,15
http://www.wikidata.org/entity/Q7254,Аффенпинчер,Германия,30,6,15
http://www.wikidata.org/entity/Q7254,Аффенпинчер,Германия,25,6,12
http://www.wikidata.org/entity/Q7254,Аффенпинчер,Германия,30,6,12
http://www.wikidata.org/entity/Q7254,Аффенпинчер,Германия,25,4,15
http://www.wikidata.org/entity/Q7254,Аффенпинчер,Германия,30,4,15
http://www.wikidata.org/entity/Q38874,Перуанская голая собака,Перу,25,4,14
http://www.wikidata.org/entity/Q38874,Перуанская голая собака,Перу,65,4,14
http://www.wikidata.org/entity/Q7254,Аффенпинчер,Германия,25,4,12
http://www.wikidata.org/entity/Q7254,Аффенпинчер,Германия,30,4,12
